tweetId,strategyId,annotationId,startTime,end_time,surveycode,fluency,informativeness,persuasiveness,soundness,fluency2,informativeness2,persuasiveness2,soundness2,hatefulness
1,1,1,2022-12-25 20:17:03,2022-12-25 20:17:18,zJbA6noP9YAO5yPi,-1,-1,-1,-1,-1,-1,-1,-1,4
1,1,2,2022-12-25 20:17:23,2022-12-25 20:17:28,CepDU4Bl6LZqdn9x,-1,-1,-1,-1,-1,-1,-1,-1,3
1,2,1,2022-12-25 20:17:33,2022-12-25 20:17:49,sx6w5a7CrI9AcIr7,5,4,5,4,-1,-1,-1,-1,5
1,2,2,2022-12-25 20:17:54,2022-12-25 20:18:08,HbAiZMkUjNQ0ZidT,3,5,5,4,-1,-1,-1,-1,5
2,1,1,2022-12-25 20:18:13,2022-12-25 20:18:21,aFxeBm6hjA4b8cOZ,-1,-1,-1,-1,-1,-1,-1,-1,4
2,1,2,2022-12-25 20:18:27,2022-12-25 20:18:32,xFYdkgu2vJQd36sX,-1,-1,-1,-1,-1,-1,-1,-1,4
2,2,1,2022-12-25 20:19:01,2022-12-25 20:19:14,NoqnjjsMGZa5SRVH,4,3,3,4,-1,-1,-1,-1,3
2,2,2,2022-12-25 20:19:19,2022-12-25 20:20:17,CY4zmzWwfqhcA5Z3,2,2,1,2,-1,-1,-1,-1,3
3,1,1,2022-12-25 20:20:30,2022-12-25 20:20:41,Kq7wclv3QrdUlh7X,-1,-1,-1,-1,-1,-1,-1,-1,1
3,1,2,2022-12-25 20:20:46,2022-12-25 20:20:51,Lht9rlLGM7PKOwOT,-1,-1,-1,-1,-1,-1,-1,-1,2
3,2,1,2022-12-25 20:20:55,2022-12-25 20:21:09,Wip33W0JvsxhgO3E,5,5,4,5,-1,-1,-1,-1,2
3,2,2,2022-12-25 20:21:15,2022-12-25 20:21:28,HRUHOZFhUGXdnBlu,4,4,3,5,-1,-1,-1,-1,3
4,1,1,2022-12-25 20:21:32,2022-12-25 20:21:38,5DGNJH7998DCyE5k,-1,-1,-1,-1,-1,-1,-1,-1,1
4,1,2,2022-12-25 20:21:42,2022-12-25 20:21:46,fRNWOiDnHhjcw8tN,-1,-1,-1,-1,-1,-1,-1,-1,1
4,2,1,2022-12-25 20:21:51,2022-12-25 20:22:05,sxr2mGvAYY0d2dGt,2,1,2,1,-1,-1,-1,-1,1
4,2,2,2022-12-25 20:22:10,2022-12-25 20:22:31,dDufiIVgYNHZKUYi,1,2,1,2,-1,-1,-1,-1,1